"","Station_Name","total_heritage","residential","suitable","LGA_NAME23"
"1","Altona",0.00347490347490347,0.00136363636363636,0.00143129770992366,"Hobsons Bay"
"2","Syndal",0.0048025613660619,0.00501532460295347,0.00509745127436282,"Monash"
"3","Frankston",0.00638655462184874,0.0036668412781561,0.00225098480585256,"Frankston"
"4","Armadale",0.407599309153713,0.4,0.415769364362626,"Stonnington"
"5","Pakenham",0.0207253886010363,0.00940665701881331,0.0101641907740422,"Cardinia"
"6","Victoria Park",0.691413815364751,0.818600065724614,0.834091704585229,"Yarra"
"7","Heathmont",0.00136239782016349,0.00140597539543058,0.00110537951363301,"Maroondah"
"8","Heyington",0.246761658031088,0.233597692862293,0.240464344941957,"Stonnington"
"9","Montmorency",0.0155709342560554,0.00121285627653123,0.00125234815278647,"Banyule"
"10","Newport",0.499400838825644,0.49140127388535,0.497523935292176,"Hobsons Bay"
"11","Glenhuntly",0.0835128021057669,0.0859336305101535,0.0922330097087379,"Glen Eira"
"12","Burwood",0.12971764048085,0.133819241982507,0.136434108527132,"Boroondara"
"13","Footscray",0.306487695749441,0.339055793991416,0.349206349206349,"Maribyrnong"
"14","East Malvern",0.24380574826561,0.245638520586183,0.261216730038023,"Stonnington"
"15","Middle Footscray",0.320765550239234,0.342624568327578,0.349243007441622,"Maribyrnong"
"16","Hawkstowe",0.00276243093922652,0.00140350877192982,0.00153846153846154,"Whittlesea"
"17","Tooronga",0.164776307498425,0.159272727272727,0.158435401027262,"Stonnington"
"18","Keilor Plains",0.000687521485046408,0,0,"Brimbank"
"19","Rushall",0.890057755775578,0.89983844911147,0.907123753950887,"Yarra"
"20","South Yarra",0.389841986455982,0.406794682422452,0.396752559124603,"Stonnington"
"21","Eltham",0.022673031026253,0.0170807453416149,0.0165380374862183,"Nillumbik"
"22","Chatham",0.472002185195302,0.468471148126115,0.479173191356091,"Boroondara"
"23","West Footscray",0.250048421460391,0.265769739744155,0.272539573296628,"Maribyrnong"
"24","Croxton",0.208762404044186,0.205700397702165,0.212622263623661,"Darebin"
"25","Hallam",0,0,0,"Casey"
"26","Yarraman",0.000949968334388854,0.000713521227256511,0.000778210116731518,"Greater Dandenong"
"27","Gowrie",0.00135196034249662,0.00150526843953838,0.0016,"Merri-bek"
"28","East Richmond",0.580422193162712,0.648407643312102,0.642247314789314,"Yarra"
"29","Seddon",0.420224719101124,0.464054213317619,0.469431643625192,"Maribyrnong"
"30","Watsonia",0.00032499187520312,0,0,"Banyule"
"31","Glen Iris",0.186986301369863,0.180105501130369,0.183312782572955,"Stonnington"
"32","Newmarket",0.511396011396011,0.520189487931423,0.552442350607488,"Moonee Valley"
"33","Mernda",0.006765899864682,0.00176056338028169,0.00208986415882968,"Whittlesea"
"34","Broadmeadows",0.000815660685154976,0.0009000900090009,0,"Hume"
"35","Alphington",0.158490566037736,0.162023460410557,0.160484185864897,"Darebin"
"36","Fawkner",0.0567267152165581,0.05875,0.0582740213523132,"Merri-bek"
"37","Canterbury",0.485789627893349,0.483506126295947,0.49220046465317,"Boroondara"
"38","Westall",0,0,0,"Kingston (Vic.)"
"39","Burnley",0.383652094717668,0.38882863340564,0.392213829169088,"Yarra"
"40","Merinda Park",0,0,0,"Casey"
"41","Sandown Park",0.0181464679196371,0.012153950033761,0.0130482058716926,"Greater Dandenong"
"42","Flagstaff",0.719928186714542,1,1,"Melbourne"
"43","Windsor",0.304786434857266,0.291522491349481,0.2815362931642,"Stonnington"
"44","Moorabbin",0.00296223154776598,0.00248062015503876,0.00229357798165138,"Kingston (Vic.)"
"45","Craigieburn",0.002708192281652,0,0,"Hume"
"46","Pascoe Vale",0.00752068187515668,0.00488927236123095,0.00461964890668309,"Merri-bek"
"47","Somerville",0.0121520972167777,0.0125406409660938,0.0132788559754852,"Mornington Peninsula"
"48","Sunbury",0.0194997880457821,0.0148110316649642,0.0122018857459789,"Hume"
"49","Ivanhoe",0.0804146819837489,0.0567632850241546,0.0562401263823065,"Banyule"
"50","Flinders Street",0.687740940632228,0,0,"Melbourne"
"51","Jordanville",0.00213740458015267,0.000629128656810318,0.000335570469798658,"Monash"
"52","Williamstown Beach",0.897741935483871,0.896071428571429,0.905674558436678,"Hobsons Bay"
"53","North Brighton",0.153905447070915,0.125633802816901,0.123181953101811,"Bayside (Vic.)"
"54","Glenferrie",0.638403990024938,0.689829895041621,0.705569205569206,"Boroondara"
"55","Merlynston",0.0615966964900206,0.0743478260869565,0.0749306197964847,"Merri-bek"
"56","Hartwell",0.124611398963731,0.124966188801731,0.126414027149321,"Boroondara"
"57","Watergardens",0.000384172109104879,0,0,"Brimbank"
"58","Darebin",0.118789689951438,0.0996232733361239,0.0994204190815872,"Banyule"
"59","Westona",0.00158277936055714,0.0013271400132714,0.0014040014040014,"Hobsons Bay"
"60","Springvale",0.0030750307503075,0,0,"Greater Dandenong"
"61","Lynbrook",0.0165721761883995,0.0178485287023637,0.0175077239958805,"Casey"
